,Longitude,Latitude,Rainfall,time
1,77,8.25,210.9249971,2009-01-01
2,77.25,8.25,194.1203615,2009-01-02
3,77.5,8.25,121.0699123,2009-01-03
4,77.75,8.25,112.5506083,2009-01-04
5,76.75,8.5,271.2512379,2009-01-05
6,77,8.5,247.0555891,2009-01-06
7,77.25,8.5,214.4138036,2009-01-07
8,77.5,8.5,110.0971208,2009-01-08
9,77.75,8.5,112.6111611,2009-01-09
10,78,8.5,103.4350261,2009-01-10
11,76.5,8.75,267.5510137,2009-01-11
12,76.75,8.75,337.4066995,2009-01-12
13,77,8.75,278.2668068,2009-01-13
14,77.25,8.75,161.2904154,2009-01-14
15,77.5,8.75,120.1831456,2009-01-15
16,77.75,8.75,103.7214553,2009-01-16
17,78,8.75,120.3894975,2009-01-17
18,76.5,9,313.4232607,2009-01-18
19,76.75,9,439.160001,2009-01-19
20,77,9,371.7730754,2009-01-20
21,77.25,9,142.0234116,2009-01-21
22,77.5,9,103.0421497,2009-01-22
23,77.75,9,83.64254508,2009-01-23
24,78,9,87.41203293,2009-01-24
25,76.25,9.25,269.8440393,2009-01-25
26,76.5,9.25,368.427545,2009-01-26
27,76.75,9.25,528.5209902,2009-01-27
28,77,9.25,204.066208,2009-01-28
29,77.25,9.25,116.0209147,2009-01-29
30,77.5,9.25,107.2976737,2009-01-30
31,77.75,9.25,104.1989588,2009-01-31
32,78,9.25,89.3623039,2009-02-01
33,78.25,9.25,95.933984,2009-02-02
34,78.5,9.25,57.30338189,2009-02-03
35,78.75,9.25,95.90732594,2009-02-04
36,79.25,9.25,129.4091832,2009-02-05
37,76.25,9.5,337.4237317,2009-02-06
38,76.5,9.5,453.492989,2009-02-07
39,76.75,9.5,528.3263948,2009-02-08
40,77,9.5,402.7029725,2009-02-09
41,77.25,9.5,111.6006212,2009-02-10
42,77.5,9.5,123.5923823,2009-02-11
43,77.75,9.5,102.7163259,2009-02-12
44,78,9.5,95.1749,2009-02-13
45,78.25,9.5,107.9156537,2009-02-14
46,78.5,9.5,126.2249462,2009-02-15
47,78.75,9.5,122.0609839,2009-02-16
48,79,9.5,129.4592506,2009-02-17
49,79.25,9.5,129.2477027,2009-02-18
50,76.25,9.75,506.7200019,2009-02-19
51,76.5,9.75,418.4165486,2009-02-20
52,76.75,9.75,472.216299,2009-02-21
53,77,9.75,357.8701084,2009-02-22
54,77.25,9.75,203.3614667,2009-02-23
55,77.5,9.75,112.3359655,2009-02-24
